InsertRemoveRandomP3_200k;1017;1016;923
InsertRemoveRandomP3_300k;2329;2388;2317
InsertRemoveRandomP5_300k;2301;2313;2493
InsertRemoveRandomP5_400k;4651;4700;4600
Insert4Remove1_100k;238;237;236
Insert4Remove1_300k;2408;2580;2527
Insert4Poll1_100k;5;4;4
Insert4Poll1_300k;10;9;10
ReverseRemoval_200k;9334;9163;8949
Insert4Remove1_200k;1042;1065;1044
InsertRemoveRandomP3_10k;2;1;2
InsertRemoveRandomP5_10k;2;2;2
ReverseRemoval_100k;2314;2338;2256
ReverseRemoval_300k;20844;20947;20933
Insert4Poll1_400k;13;12;13
InsertRemoveRandomP5_200k;1033;994;991
Insert4Remove1_10k;2;2;1
ReverseRemoval_400k;37173;36825;37070
InsertRemoveRandomP3_400k;4114;4111;4054
InsertRemoveRandomP3_100k;201;212;211
Insert4Remove1_400k;4550;4718;4749
Insert4Poll1_200k;6;7;6
Insert4Poll1_10k;1;0;0
InsertRemoveRandomP5_100k;256;239;242
ReverseRemoval_10k;23;24;23
